Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
(.(.(*)(*))...),(.(.(...)(...))...),(???(...)(...)????),undesignable,0.0217,1,['(...(*)(*)....)']
(((*)(*)).(*)),(((...)(...)).(...)),(?(...)(...)??(...)),undesignable,0.0024,1,['(.(*)(*)..(*))']
((*)(*)(...)(*).),((...)(...)(...)(...).),((...)(...)?????(...)?),undesignable,0.0062,1,['((*)(*).....(*).)']
((...)...(*)),((...)...(...)),(????????(...)),undesignable,0.075,1,['(........(*))']
(.((*)(*)(*)).(*)),(.((...)(...)(...)).(...)),(??(...)(...)(...)??(...)),undesignable,0.002,1,['(..(*)(*)(*)..(*))']
(...(((*)...))),(...(((...)...))),(?????(...)?????),undesignable,0.0079,1,['(.....(*).....)']
(.((*)(*)..)...),(.((...)(...)..)...),(??(...)(...)??????),undesignable,0.0202,1,['(..(*)(*)......)']
((.(.(*))).),((.(.(...))).),(????(...)???),undesignable,0.996,16,"['(....(*)...)', '((.(.(*)).))', '(..(.(*))..)', '((.(((*)))))', '((.(.(*).)))', '(..(((*).)))', '(...((*))..)', '((..((*)).))', '((...(*)..))', '(.((((*)))))', '(.((.(*).)))', '(.(.((*)).))', '(.(..(*)..))', '(..(((*))).)', '(..(.(*).).)', '(.((.(*))).)']"
(.(.(...).(*))),(.(.(...).(...))),(?????????(...)?),undesignable,1.8286,1,['(.........(*).)']
((.(...)...).),((.(...)...).),(????????????),undesignable,1.1215,1,['(............)']
(.((..(*))(*)).),(.((..(...))(...)).),(?????(...)?(...)??),undesignable,0.2214,1,['(.(...(*).(*)).)']
((.(...(*)))(*)),((.(...(...)))(...)),(??????(...)??(...)),undesignable,0.0118,1,['(......(*)..(*))']
(((*)((*).(*))).),(((...)((...).(...))).),(?(...)?(...)?(...)???),undesignable,0.0731,1,['(.(*).(*).(*)...)']
((...((*).(*)))),((...((...).(...)))),(?????(...)?(...)??),undesignable,0.0149,1,['((....(*).(*).))']
(.(.(...)(*)).),(.(.(...)(...)).),(????????(...)??),undesignable,1.8127,1,['(........(*)..)']
((...)..((*))),((...)..((...))),(????????(...)?),undesignable,1.9042,1,['(.......((*)))']
(((*)..(*))..),(((...)..(...))..),(?(...)??(...)???),undesignable,0.0034,1,['(.(*)..(*)...)']
((*)(((*).).(*))),((...)(((...).).(...))),((...)??(...)???(...)?),undesignable,0.2852,1,['((*)..(*)...(*).)']
(((*))((*)(*))),(((...))((...)(...))),(?(...)??(...)(...)?),undesignable,0.0189,1,['(.(*)..(*)(*).)']
(((.(...))..)),(((.(...))..)),(????????????),undesignable,0.07,1,['((..........))']
((..(.((*)))).),((..(.((...)))).),(??????(...)????),undesignable,0.1647,1,['(...(.((*)))..)']
((.((*)..))(*)),((.((...)..))(...)),(???(...)????(...)),undesignable,0.0118,1,['(...(*)....(*))']
((....(...)).),((....(...)).),(????????????),undesignable,0.0186,1,['(............)']
(...(..(...))),(...(..(...))),(????????????),undesignable,0.0184,1,['(............)']
(...((*)((*)).)),(...((...)((...)).)),(????(...)?(...)???),undesignable,0.2564,1,['(....(*)((*))..)']
(..(*).((*)(*)).),(..(...).((...)(...)).),(??(...)??(...)(...)??),undesignable,0.0023,1,['(..(*)..(*)(*)..)']
((*)(((*))(*))(*)),((...)(((...))(...))(...)),((...)??(...)?(...)?(...)),undesignable,0.0196,1,['((*)..(*).(*).(*))']
((*).(...).),((...).(...).),((...)???????),undesignable,0.0764,1,['((*).......)']
((*)((*)(.(*))).),((...)((...)(.(...))).),((...)?(...)??(...)???),undesignable,0.0476,1,['((*).(*)..(*)...)']
((((*)(*).).)..),((((...)(...).).)..),(??(...)(...)??????),undesignable,0.0081,1,['(..(*)(*)......)']
(((*)(...)(*).)),(((...)(...)(...).)),(?(...)?????(...)??),undesignable,1.3757,1,['(((*).....(*).))']
(.((*).)(....)),(.((...).)(....)),(??(...)????????),undesignable,1.8748,1,['(..(*)........)']
(..(...)..(*).),(..(...)..(...).),(?????????(...)?),undesignable,4.8747,1,['(.........(*).)']
(..(.(*)...(*))),(..(.(...)...(...))),(????(...)???(...)?),undesignable,0.0019,1,['(....(*)...(*).)']
(((...)...)),(((...)...)),(??????????),undesignable,0.0175,1,['((........))']
((...).....(*)),((...).....(...)),(??????????(...)),undesignable,0.0748,1,['(..........(*))']
(.(.((*)(*))(*))),(.(.((...)(...))(...))),(????(...)(...)?(...)?),undesignable,0.2843,1,['(....(*)(*).(*).)']
(...(*)(....)),(...(...)(....)),(???(...)??????),undesignable,0.3021,1,['(...(*)......)']
((.(*).(*)).(*)),((.(...).(...)).(...)),(??(...)?(...)??(...)),undesignable,0.0018,1,['(..(*).(*)..(*))']
(......(..(*))),(......(..(...))),(?????????(...)?),undesignable,0.0015,1,['(.........(*).)']
(((...)(*)...)),(((...)(...)...)),(??????(...)????),undesignable,0.4627,1,['(......(*)....)']
(..(.(.(*))..)),(..(.(.(...))..)),(??????(...)????),undesignable,0.4518,1,['(......(*)....)']
(...(.(*)((*)))),(...(.(...)((...)))),(?????(...)?(...)??),undesignable,0.2503,1,['(.....(*)((*)).)']
((*)((.(*))(*))),((...)((.(...))(...))),((...)???(...)?(...)?),undesignable,0.071,1,['((*)...(*).(*).)']
((.(...)..)..),((.(...)..)..),(????????????),undesignable,1.1422,1,['(............)']
(..(((*).)..)),(..(((...).)..)),(????(...)?????),undesignable,0.0078,1,['(....(*).....)']
(.(.(*)(*).)(*)),(.(.(...)(...).)(...)),(???(...)(...)??(...)),undesignable,0.0013,1,['(...(*)(*)..(*))']
(.(*)(.....(*))),(.(...)(.....(...))),(?(...)??????(...)?),undesignable,0.0022,1,['(.(*)......(*).)']
(.((*)(..(*))).),(.((...)(..(...))).),(??(...)???(...)???),undesignable,0.2194,1,['(.((*)...(*).).)']
(..(*)((*)((*)))),(..(...)((...)((...)))),(??(...)?(...)?(...)??),undesignable,0.0187,1,['(..(*).(*).(*)..)']
((*)((...).)(*)),((...)((...).)(...)),((...)????????(...)),undesignable,0.0318,1,['((*)........(*))']
((((*))..)..(*)),((((...))..)..(...)),(??(...)??????(...)),undesignable,0.0149,1,['(.((*)).....(*))']
((...).(...).),((...).(...).),(????????????),undesignable,4.747,1,['(............)']
((*).(.(*)....)),((...).(.(...)....)),((...)???(...)?????),undesignable,0.0212,1,['((*)...(*).....)']
((((*)..).(*)).),((((...)..).(...)).),(??(...)????(...)??),undesignable,0.181,1,['(..(*)....(*)..)']
(.(..(*)).(*)..),(.(..(...)).(...)..),(????(...)??(...)??),undesignable,0.0015,1,['(....(*)..(*)..)']
(.((*)(*)).....),(.((...)(...)).....),(??(...)(...)??????),undesignable,0.0299,1,['(..(*)(*)......)']
(..(((*)..)..)),(..(((...)..)..)),(????(...)??????),undesignable,0.0075,1,['(....(*)......)']
((*)(.(*))(...)),((...)(.(...))(...)),((...)??(...)??????),undesignable,0.7298,1,['((*)..(*)......)']
(.(((*))..).(*)),(.(((...))..).(...)),(???(...)?????(...)),undesignable,0.0109,1,['(..((*))....(*))']
(.(*)(..(*)(*)).),(.(...)(..(...)(...)).),(?(...)???(...)(...)??),undesignable,0.0018,1,['(.(*)...(*)(*)..)']
(.(..(*)).....),(.(..(...)).....),(????(...)??????),undesignable,0.0188,1,['(....(*)......)']
