Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
((...)(*)(*)..),((...)(...)(...)..),(?????(...)(...)??),undesignable,0.0056,1,['(.....(*)(*)..)']
(...((*).(*)(*))),(...((...).(...)(...))),(????(...)?(...)(...)?),undesignable,0.0025,1,['(....(*).(*)(*).)']
(((*))(*)(....)),(((...))(...)(....)),(?(...)?(...)??????),undesignable,1.4273,1,['(((*))(*)......)']
(((*).)((*)...)),(((...).)((...)...)),(?(...)???(...)????),undesignable,0.0472,1,['(.(*)...(*)....)']
((.((*)))(...)),((.((...)))(...)),(???(...)???????),undesignable,0.9548,3,"['(...(*).......)', '(((((*))....)))', '((.((*)).....))']"
((*)((*)...)(*)),((...)((...)...)(...)),((...)?(...)????(...)),undesignable,0.0025,1,['((*).(*)....(*))']
((.((*)).(*))..),((.((...)).(...))..),(???(...)??(...)???),undesignable,0.8044,1,['(..((*)).(*)...)']
(((.(*))..).(*)),(((.(...))..).(...)),(???(...)?????(...)),undesignable,0.0103,1,['(...(*).....(*))']
((.(((*).)))..),((.(((...).)))..),(????(...)??????),undesignable,0.6014,1,['(..(((*).))...)']
(((..(...)).)),(((..(...)).)),(????????????),undesignable,0.0463,1,['(((.......).))']
(((*))(*)((*)(*))),(((...))(...)((...)(...))),(?(...)?(...)?(...)(...)?),undesignable,0.118,1,['(.(*).(*).(*)(*).)']
((...).......),((...).......),(????????????),undesignable,0.0032,1,['(............)']
((((*).(...)))),((((...).(...)))),(??(...)????????),undesignable,1.4313,1,['((((*)......)))']
((*)((.(*))(*)).),((...)((.(...))(...)).),((...)???(...)?(...)??),undesignable,0.0505,1,['((*)...(*).(*)..)']
((((....)(*)))),((((....)(...)))),(????????(...)??),undesignable,1.4768,1,['(((......(*))))']
(((....)(*)..)),(((....)(...)..)),(???????(...)???),undesignable,8.6463,1,['((......(*)..))']
((*).(..(.(*)))),((...).(..(.(...)))),((...)??????(...)??),undesignable,0.0102,1,['((*)......(*)..)']
((...(...).).),((...(...).).),(????????????),undesignable,1.1478,1,['(............)']
(((*).(*))((*).)),(((...).(...))((...).)),(?(...)?(...)??(...)??),undesignable,0.071,1,['(.(*).(*)..(*)..)']
((((...).))(*)),((((...).))(...)),(??????????(...)),undesignable,0.189,1,['(((......))(*))']
(((..((*).))).),(((..((...).))).),(?????(...)?????),undesignable,0.1907,1,['(((...(*)..)).)']
((.(*)......).),((.(...)......).),(??(...)????????),undesignable,0.0182,1,['(..(*)........)']
(..(...(*).)),(..(...(...).)),(??????(...)??),undesignable,0.0182,1,['(......(*)..)']
((((*)....)..)),((((...)....)..)),(??(...)????????),undesignable,0.0771,1,['((.(*).......))']
(((*).((*)))(*).),(((...).((...)))(...).),(?(...)??(...)??(...)?),undesignable,0.0682,1,['(.(*)..(*)..(*).)']
((.((*)(*))..).),((.((...)(...))..).),(???(...)(...)?????),undesignable,0.7355,1,['(...(*)(*).....)']
((.....)(*).(*)),((.....)(...).(...)),(???????(...)?(...)),undesignable,0.0016,1,['(.......(*).(*))']
((...(*)(*))..),((...(...)(...))..),(????(...)(...)???),undesignable,0.0017,1,['(....(*)(*)...)']
(((.((*)))..)),(((.((...)))..)),(????(...)?????),undesignable,0.1654,1,['((..((*))...))']
(((...)(*)(*))),(((...)(...)(...))),(??????(...)(...)?),undesignable,0.7126,1,['((.....(*)(*)))']
(((..(*)(*))..)),(((..(...)(...))..)),(????(...)(...)????),undesignable,0.0139,1,['((...(*)(*)...))']
(.((*)(*)(...))),(.((...)(...)(...))),(??(...)(...)??????),undesignable,0.7533,1,['(..(*)(*)......)']
(((.(*)..).)(*)),(((.(...)..).)(...)),(???(...)?????(...)),undesignable,0.1821,1,['(...(*).....(*))']
(.(.(*)(*))(*)(*)),(.(.(...)(...))(...)(...)),(???(...)(...)?(...)(...)),undesignable,0.0018,1,['(...(*)(*).(*)(*))']
(((*)(*)...)(*).),(((...)(...)...)(...).),(?(...)(...)????(...)?),undesignable,0.0024,1,['(.(*)(*)....(*).)']
((.(.((*))))(*)),((.(.((...))))(...)),(?????(...)???(...)),undesignable,0.2944,6,"['(.....(*)...(*))', '(.((.((*))))(*))', '(..(.((*))).(*))', '(...(((*))).(*))', '(....((*))..(*))', '(..(.((*)).)(*))']"
(.(*)((*)....).),(.(...)((...)....).),(?(...)?(...)??????),undesignable,0.0018,1,['(.(*).(*)......)']
(..((*)(*))),(..((...)(...))),(???(...)(...)?),undesignable,0.0022,1,['(...(*)(*).)']
(((*)...(...))),(((...)...(...))),(?(...)?????????),undesignable,1.2738,1,['(((*)........))']
((.(.(*)))(*).),((.(.(...)))(...).),(????(...)??(...)?),undesignable,0.1224,2,"['(....(*)..(*).)', '(..(.(*).)(*).)']"
((*)((...)..).),((...)((...)..).),((...)??????????),undesignable,0.1212,1,['((*)..........)']
((((*))(*).)...),((((...))(...).)...),(??(...)?(...)?????),undesignable,0.2761,1,['(.((*))(*).....)']
((*)(.(*)((*).))),((...)(.(...)((...).))),((...)??(...)?(...)???),undesignable,0.2856,1,['((*)..(*).(*)...)']
((..((*).))(*)),((..((...).))(...)),(????(...)???(...)),undesignable,0.0119,1,['(....(*)...(*))']
((.(*)).(...)),((.(...)).(...)),(??(...)???????),undesignable,0.4574,1,['(..(*).......)']
(((*)(*))(...).),(((...)(...))(...).),(?(...)(...)???????),undesignable,0.7511,1,['(.(*)(*).......)']
(...(...)(*)..),(...(...)(...)..),(????????(...)??),undesignable,1.1841,1,['(........(*)..)']
((((.(*)).)..)),((((.(...)).)..)),(????(...)??????),undesignable,0.2437,1,['((...(*).....))']
(......(...).),(......(...).),(????????????),undesignable,0.0466,1,['(............)']
((.(*)(*).).(*).),((.(...)(...).).(...).),(??(...)(...)???(...)?),undesignable,0.0014,1,['(..(*)(*)...(*).)']
(...(.(*)..).),(...(.(...)..).),(?????(...)????),undesignable,0.2875,1,['(.....(*)....)']
(.(..(...))),(.(..(...))),(??????????),undesignable,0.0181,1,['(..........)']
((((*))(*))(*).),((((...))(...))(...).),(??(...)?(...)?(...)?),undesignable,0.0181,1,['(..(*).(*).(*).)']
(.(...)..(*)..),(.(...)..(...)..),(????????(...)??),undesignable,4.7288,1,['(........(*)..)']
(((*)(...))..),(((...)(...))..),(?(...)????????),undesignable,0.1179,1,['(.(*)........)']
(...((*)(*).).),(...((...)(...).).),(????(...)(...)???),undesignable,0.0208,1,['(....(*)(*)...)']
(....((*).).),(....((...).).),(?????(...)???),undesignable,0.0188,1,['(.....(*)...)']
(((*)(*).)..),(((...)(...).)..),(?(...)(...)????),undesignable,0.0016,1,['(.(*)(*)....)']
((*)(((*)(*).))),((...)(((...)(...).))),((...)??(...)(...)???),undesignable,0.0125,1,['((*)..(*)(*)...)']
((*).(((*)(*).))),((...).(((...)(...).))),((...)???(...)(...)???),undesignable,0.0087,1,['((*)...(*)(*)...)']
((....).(.(*))),((....).(.(...))),(?????????(...)?),undesignable,2.1809,2,"['(.........(*).)', '(((...))(.(*)))']"
((..((*).(*)))),((..((...).(...)))),(????(...)?(...)??),undesignable,0.0198,1,['((...(*).(*).))']
((*)(.(*).....)),((...)(.(...).....)),((...)??(...)??????),undesignable,0.0295,1,['((*)..(*)......)']
(.....(...).),(.....(...).),(???????????),undesignable,0.0472,1,['(...........)']
((....)(*)....),((....)(...)....),(??????(...)????),undesignable,0.303,1,['(......(*)....)']
((*)...((*)...)),((...)...((...)...)),((...)????(...)????),undesignable,0.0018,1,['((*)....(*)....)']
((((*)(*)..)..)),((((...)(...)..)..)),(??(...)(...)??????),undesignable,0.0147,1,['((.(*)(*).....))']
((..((*)..(*)))),((..((...)..(...)))),(????(...)??(...)??),undesignable,0.0214,1,['((...(*)..(*).))']
(...((*)(*)..).),(...((...)(...)..).),(????(...)(...)????),undesignable,0.0212,1,['(....(*)(*)....)']
((.(...))..(*)),((.(...))..(...)),(??????????(...)),undesignable,0.4767,1,['(..........(*))']
((*)(.(*)....)),((...)(.(...)....)),((...)??(...)?????),undesignable,0.0303,1,['((*)..(*).....)']
(..(....(*)(*))),(..(....(...)(...))),(???????(...)(...)?),undesignable,0.0018,1,['(.......(*)(*).)']
(.((...)(*).)),(.((...)(...).)),(???????(...)??),undesignable,0.4418,1,['(.......(*)..)']
((.(...))....),((.(...))....),(????????????),undesignable,0.0178,1,['(............)']
(....(...)(*)),(....(...)(...)),(?????????(...)),undesignable,0.0765,1,['(.........(*))']
((...).(*).(*).),((...).(...).(...).),(??????(...)?(...)?),undesignable,0.0038,1,['(......(*).(*).)']
((...)(.(*))..),((...)(.(...))..),(???????(...)???),undesignable,1.8461,1,['(.......(*)...)']
(...((*)....).),(...((...)....).),(????(...)??????),undesignable,0.0192,1,['(....(*)......)']
(..(.((*)..)).),(..(.((...)..)).),(?????(...)?????),undesignable,0.1143,1,['(.....(*).....)']
((*)(*)(...(*).)),((...)(...)(...(...).)),((...)(...)????(...)??),undesignable,0.0342,1,['((*)(*)....(*)..)']
(.((*)(*))....),(.((...)(...))....),(??(...)(...)?????),undesignable,0.0306,1,['(..(*)(*).....)']
((.(..(*)).(*))),((.(..(...)).(...))),(?????(...)??(...)?),undesignable,0.7765,1,['((....(*)..(*)))']
((.(*)(*))(*)...),((.(...)(...))(...)...),(??(...)(...)?(...)???),undesignable,0.0025,1,['(..(*)(*).(*)...)']
(((*)(*).)((*).)),(((...)(...).)((...).)),(?(...)(...)???(...)??),undesignable,0.0505,1,['(.(*)(*)...(*)..)']
(...(...(*))),(...(...(...))),(???????(...)?),undesignable,0.0025,1,['(.......(*).)']
((*)(.(*)(*)(*))),((...)(.(...)(...)(...))),((...)??(...)(...)(...)?),undesignable,0.0025,1,['((*)..(*)(*)(*).)']
((...(*).(*))..),((...(...).(...))..),(????(...)?(...)???),undesignable,0.0016,1,['(....(*).(*)...)']
((*)(.(.(*)))(*)),((...)(.(.(...)))(...)),((...)????(...)??(...)),undesignable,0.128,2,"['((*)....(*)..(*))', '((*)..(.(*).)(*))']"
((.(*)(*)..)(*)),((.(...)(...)..)(...)),(??(...)(...)???(...)),undesignable,0.0017,1,['(..(*)(*)...(*))']
((..(*))...),((..(...))...),(???(...)????),undesignable,0.0017,1,['(...(*)....)']
(.(..(...).).),(.(..(...).).),(????????????),undesignable,6.2158,1,['(.(........).)']
(..(.((*).))),(..(.((...).))),(?????(...)???),undesignable,0.0092,1,['(.....(*)...)']
(..(.(.(*)))(*)),(..(.(.(...)))(...)),(??????(...)??(...)),undesignable,0.1049,3,"['(......(*)..(*))', '(.((...(*)))(*))', '(....(.(*).)(*))']"
((.(*)(*)...)..),((.(...)(...)...)..),(??(...)(...)??????),undesignable,0.0012,1,['(..(*)(*)......)']
(...((*)..)(*)),(...((...)..)(...)),(????(...)???(...)),undesignable,0.0017,1,['(....(*)...(*))']
((*)....(..(*))),((...)....(..(...))),((...)???????(...)?),undesignable,0.0017,1,['((*).......(*).)']
((*).(....)(*).),((...).(....)(...).),((...)???????(...)?),undesignable,0.0144,1,['((*).......(*).)']
(.(.((*).))(*)),(.(.((...).))(...)),(????(...)???(...)),undesignable,0.0081,1,['(....(*)...(*))']
(...(.(*)..)),(...(.(...)..)),(?????(...)???),undesignable,0.0187,1,['(.....(*)...)']
((*).((...).)),((...).((...).)),((...)?????????),undesignable,0.1174,1,['((*).........)']
((.(*)((*).))..),((.(...)((...).))..),(??(...)?(...)?????),undesignable,0.1814,1,['(..(*).(*).....)']
(..(*)(...)),(..(...)(...)),(??(...)?????),undesignable,0.0753,1,['(..(*).....)']
(((..(...))).),(((..(...))).),(????????????),undesignable,0.1741,1,['(((.......)).)']
((*)(*)(...).(*)),((...)(...)(...).(...)),((...)(...)??????(...)),undesignable,0.0064,1,['((*)(*)......(*))']
(((*).)(.....)),(((...).)(.....)),(?(...)?????????),undesignable,0.028,1,['(.(*).........)']
(.((.(*)(*))..)),(.((.(...)(...))..)),(????(...)(...)????),undesignable,0.0091,1,['(....(*)(*)....)']
(.((*)..).(*)..),(.((...)..).(...)..),(??(...)????(...)??),undesignable,0.0012,1,['(..(*)....(*)..)']
(.(.(.(*)(*).))),(.(.(.(...)(...).))),(?????(...)(...)???),undesignable,0.0057,1,['(.....(*)(*)...)']
(.((*).(*).)(*).),(.((...).(...).)(...).),(??(...)?(...)??(...)?),undesignable,0.0017,1,['(..(*).(*)..(*).)']
((...).....),((...).....),(??????????),undesignable,0.0031,1,['(..........)']
(...((...).).),(...((...).).),(????????????),undesignable,0.2889,1,['(............)']
(..(*)((*)..)(*)),(..(...)((...)..)(...)),(??(...)?(...)???(...)),undesignable,0.0025,1,['(..(*).(*)...(*))']
((((...)(*)))),((((...)(...)))),(???????(...)??),undesignable,0.7154,1,['(((.....(*))))']
(.(.((*)))...),(.(.((...)))...),(????(...)?????),undesignable,1.0497,1,['(...((*))....)']
(..((...)..).),(..((...)..).),(????????????),undesignable,0.2785,1,['(............)']
((.(*)(*))((*))),((.(...)(...))((...))),(??(...)(...)??(...)?),undesignable,0.0131,1,['(..(*)(*)..(*).)']
(.(*)..((*)(*).)),(.(...)..((...)(...).)),(?(...)???(...)(...)??),undesignable,0.0018,1,['(.(*)...(*)(*)..)']
(((.(*))....).),(((.(...))....).),(???(...)???????),undesignable,0.0168,2,"['(...(*).......)', '((..(*).....).)']"
((....((*).)).),((....((...).)).),(??????(...)????),undesignable,0.0076,1,['(......(*)....)']
(((...(*)).).),(((...(...)).).),(?????(...)????),undesignable,0.0077,1,['(.....(*)....)']
((*)(*).(....)),((...)(...).(....)),((...)(...)???????),undesignable,0.0154,1,['((*)(*).......)']
(.(*).((*)..(*))),(.(...).((...)..(...))),(?(...)??(...)??(...)?),undesignable,0.0025,1,['(.(*)..(*)..(*).)']
(..(..((*)))),(..(..((...)))),(??????(...)??),undesignable,0.0668,1,['(.....((*)).)']
((...(..(*)).)),((...(..(...)).)),(???????(...)???),undesignable,2.0125,1,['((......(*)..))']
(((*))..(...).),(((...))..(...).),(?(...)?????????),undesignable,5.0063,1,['(((*))........)']
((.(*))((...))),((.(...))((...))),(??(...)????????),undesignable,39.172,11,"['(..(*)........)', '((((*)))......)', '((((*))......))', '((((*).).....))', '((((*)..))....)', '((((*)...))...)', '((((*)....))..)', '((((*).....)).)', '((((*).....).))', '((((*)......)))', '((.(*).......))']"
((*)((*)(*).)),((...)((...)(...).)),((...)?(...)(...)??),undesignable,0.0023,1,['((*).(*)(*)..)']
((...)((*)(*)).),((...)((...)(...)).),(??????(...)(...)??),undesignable,0.7141,1,['(......(*)(*)..)']
((...)..(*).),((...)..(...).),(???????(...)?),undesignable,0.2972,1,['(.......(*).)']
(..((*).((*)))),(..((...).((...)))),(???(...)??(...)??),undesignable,0.3953,1,['(...(*).((*)).)']
(.(*)..(..(*)).),(.(...)..(..(...)).),(?(...)?????(...)??),undesignable,0.0017,1,['(.(*).....(*)..)']
(.(((*))(*))...),(.(((...))(...))...),(???(...)?(...)????),undesignable,1.0862,1,['(..((*))(*)....)']
(.(...).....),(.(...).....),(???????????),undesignable,0.0464,1,['(...........)']
(((...)..)),(((...)..)),(?????????),undesignable,0.0192,1,['((.......))']
(((...)(*)(*).)),(((...)(...)(...).)),(??????(...)(...)??),undesignable,0.5285,1,['((.....(*)(*).))']
((.(.(*)..)).),((.(.(...)..)).),(????(...)?????),undesignable,22.6297,23,"['(....(*).....)', '((.(.(*)..).))', '(..(.(*)..)..)', '((.(((*))).).)', '((.(.(*).).).)', '((..((*))..).)', '((...(*)...).)', '((((.(*))))..)', '((.(((*)..))))', '(...((*))....)', '((((.(*)))..))', '((.(((*)))..))', '((.(((*)).).))', '((.(((*).)).))', '((.(.(*).)..))', '((..((*))...))', '((...(*)....))', '(.((((*)..))))', '(.((.(*)...)))', '(..(((*)))...)', '(..(((*)).)..)', '(..(((*).))..)', '(.((.(*)..)).)']"
(((.(*)(*))).(*)),(((.(...)(...))).(...)),(???(...)(...)???(...)),undesignable,0.0092,1,['(...(*)(*)...(*))']
(..(*)((*)...).),(..(...)((...)...).),(??(...)?(...)?????),undesignable,0.0017,1,['(..(*).(*).....)']
((((*)(*)..)(*))),((((...)(...)..)(...))),(??(...)(...)???(...)?),undesignable,0.0123,1,['(..(*)(*)...(*).)']
(.(*)(*)(...)(*)),(.(...)(...)(...)(...)),(?(...)(...)?????(...)),undesignable,0.0068,1,['(.(*)(*).....(*))']
(((...)((*)))),(((...)((...)))),(???????(...)??),undesignable,0.7382,1,['((.....((*))))']
(.((..(*).)(*))),(.((..(...).)(...))),(?????(...)??(...)?),undesignable,0.7647,4,"['(.....(*)..(*).)', '((.(..(*).)(*)))', '(..(..(*).)(*).)', '(.(...(*)..(*)))']"
(((...)...).),(((...)...).),(???????????),undesignable,0.0173,1,['(...........)']
((((*)(*))...)),((((...)(...))...)),(??(...)(...)?????),undesignable,0.0153,1,['((.(*)(*)....))']
((...)..),((...)..),(???????),undesignable,0.003,1,['(.......)']
((...).(*)....),((...).(...)....),(??????(...)????),undesignable,0.3008,1,['(......(*)....)']
(.((*).(*))....),(.((...).(...))....),(??(...)?(...)?????),undesignable,0.0295,1,['(..(*).(*).....)']
((.(...))(*)..),((.(...))(...)..),(????????(...)??),undesignable,0.4502,1,['(........(*)..)']
((..(((*)))).),((..(((...)))).),(?????(...)????),undesignable,0.6066,1,['(...(((*)))..)']
(..((.(...)))),(..((.(...)))),(????????????),undesignable,0.2349,1,['(..((......)))']
(((*).....)...),(((...).....)...),(?(...)?????????),undesignable,0.0015,1,['(.(*).........)']
((((*)..)..).),((((...)..)..).),(??(...)???????),undesignable,0.0073,1,['(..(*).......)']
((..(*)).(.(*))),((..(...)).(.(...))),(???(...)????(...)?),undesignable,0.1841,1,['(...(*)....(*).)']
(..(.(...))(*)),(..(.(...))(...)),(??????????(...)),undesignable,0.4919,1,['(..........(*))']
((*)(.(...)(*))),((...)(.(...)(...))),((...)???????(...)?),undesignable,0.7345,1,['((*).......(*).)']
((.(...(*))..)),((.(...(...))..)),(??????(...)????),undesignable,2.5616,1,['((.....(*)...))']
((((*))..).(*).),((((...))..).(...).),(??(...)?????(...)?),undesignable,0.0156,1,['(.((*))....(*).)']
((...(*)(*))(*).),((...(...)(...))(...).),(????(...)(...)?(...)?),undesignable,0.0025,1,['(....(*)(*).(*).)']
((....(*))..),((....(...))..),(?????(...)???),undesignable,0.0015,1,['(.....(*)...)']
(((*))(.....)),(((...))(.....)),(?(...)????????),undesignable,0.0681,1,['(((*)).......)']
((*)..((*).(*)).),((...)..((...).(...)).),((...)???(...)?(...)??),undesignable,0.0017,1,['((*)...(*).(*)..)']
(.(...)),(.(...)),(??????),undesignable,0.003,1,['(......)']
(.(*)(..(*))),(.(...)(..(...))),(?(...)???(...)?),undesignable,0.0022,1,['(.(*)...(*).)']
((*)..(*).(...)),((...)..(...).(...)),((...)??(...)??????),undesignable,0.004,1,['((*)..(*)......)']
(((*).(...))..),(((...).(...))..),(?(...)?????????),undesignable,0.4659,1,['(.(*).........)']
((*)((((*)).).)),((...)((((...)).).)),((...)???(...)?????),undesignable,0.1918,1,['((*)..((*))....)']
((*)(......).),((...)(......).),((...)?????????),undesignable,1.2299,1,['((*).........)']
((.......)...),((.......)...),(????????????),undesignable,0.0014,1,['(............)']
(((*))(..((*)))),(((...))(..((...)))),(?(...)?????(...)??),undesignable,0.671,1,['(((*))...((*)).)']
(((....).)(*)),(((....).)(...)),(?????????(...)),undesignable,0.1172,1,['(.........(*))']
(.(*)(*)(...)..),(.(...)(...)(...)..),(?(...)(...)???????),undesignable,0.004,1,['(.(*)(*).......)']
(((..(...)))),(((..(...)))),(???????????),undesignable,0.4961,1,['(((.......)))']
((.(...).)(*).),((.(...).)(...).),(?????????(...)?),undesignable,9.2072,5,"['(.........(*).)', '(((...))..(*).)', '(.((....))(*).)', '(.(....)..(*).)', '(.(......)(*).)']"
((((*))((*)(*)))),((((...))((...)(...)))),(??(...)??(...)(...)??),undesignable,0.8449,1,['((((*)).(*)(*).))']
(..(.(*)(*).(*))),(..(.(...)(...).(...))),(????(...)(...)?(...)?),undesignable,0.0016,1,['(....(*)(*).(*).)']
(.(....)((*).)),(.(....)((...).)),(????????(...)??),undesignable,30.5537,4,"['(........(*)..)', '((......((*))))', '((.......(*).))', '(......(((*))))']"
(..((..(*))(*))),(..((..(...))(...))),(??????(...)?(...)?),undesignable,0.952,1,['(......(*).(*).)']
(((*).(*).)(*)(*)),(((...).(...).)(...)(...)),(?(...)?(...)??(...)(...)),undesignable,0.0028,1,['(.(*).(*)..(*)(*))']
(...(.....)),(...(.....)),(??????????),undesignable,0.0011,1,['(..........)']
((.((...).).)),((.((...).).)),(????????????),undesignable,1.2497,1,['((.(......).))']
((*)(*)(....).),((...)(...)(....).),((...)(...)???????),undesignable,0.015,1,['((*)(*).......)']
(.(*)((*)(*).)),(.(...)((...)(...).)),(?(...)?(...)(...)??),undesignable,0.0024,1,['(.(*).(*)(*)..)']
(((...).(*).)),(((...).(...).)),(???????(...)??),undesignable,2.377,1,['((......(*).))']
(.((...)..)(*)),(.((...)..)(...)),(??????????(...)),undesignable,0.118,1,['(..........(*))']
(.(...)((*)(*))),(.(...)((...)(...))),(???????(...)(...)?),undesignable,0.7333,1,['(.......(*)(*).)']
((..(....))(*)),((..(....))(...)),(??????????(...)),undesignable,0.1191,1,['(..........(*))']
((.(((*).).)).),((.(((...).).)).),(????(...)??????),undesignable,11.7446,20,"['(....(*)......)', '((.(((*).).).))', '((..((*).)..).)', '(..(((*).).)..)', '((..((*))...).)', '((...(*)....).)', '((.(((*)...))))', '((.(((*)))..).)', '(.((((*)...))))', '(...((*)).....)', '((.(((*))..).))', '((..((*))..)..)', '((..((*))....))', '((...(*).....))', '(.((((*))...)))', '(..(((*))..)..)', '((.(((*)))...))', '((.(.(*).)...))', '(..(((*)))....)', '((.(((*).)).).)']"
((*)..(.((*).))),((...)..(.((...).))),((...)?????(...)???),undesignable,0.0082,1,['((*).....(*)...)']
((...)(.....)),((...)(.....)),(????????????),undesignable,0.0685,1,['(............)']
((*)(((*)...).)),((...)(((...)...).)),((...)??(...)??????),undesignable,0.0117,1,['((*)..(*)......)']
(.((*)).((*)..)),(.((...)).((...)..)),(??(...)???(...)???),undesignable,0.801,1,['(.((*))..(*)...)']
(.((*)..)),(.((...)..)),(??(...)???),undesignable,0.0016,1,['(..(*)...)']
((*)((*).(*))),((...)((...).(...))),((...)?(...)?(...)?),undesignable,0.0049,1,['((*).(*).(*).)']
((*).((...)(*))),((...).((...)(...))),((...)???????(...)?),undesignable,0.1285,1,['((*).......(*).)']
((..((*).).).),((..((...).).).),(????(...)?????),undesignable,1.9751,16,"['(....(*).....)', '(((.((*).))).)', '((.(((*).))).)', '((((((*))))).)', '((((((*).)))))', '((((.(*))).).)', '((((.(*).))).)', '(((.((*)).)).)', '(((.((*).).)))', '(((..(*)..)).)', '((.(((*))).).)', '((.(((*).)).))', '((.(.(*).).).)', '((..((*))..).)', '((..((*).)..))', '((...(*)...).)']"
(.(*)(.(..(*)))),(.(...)(.(..(...)))),(?(...)?????(...)??),undesignable,0.0119,1,['(.(*).....(*)..)']
(((*)((*)(*))..)),(((...)((...)(...))..)),(?(...)?(...)(...)????),undesignable,0.2985,1,['(.(*).(*)(*)....)']
((*)(.(*)...)),((...)(.(...)...)),((...)??(...)????),undesignable,0.0294,1,['((*)..(*)....)']
(((*)(..(*))..)),(((...)(..(...))..)),(?(...)???(...)????),undesignable,0.7836,1,['(((*)...(*)...))']
((....)..),((....)..),(????????),undesignable,0.0122,1,['(........)']
(.(...).((*)).),(.(...).((...)).),(????????(...)??),undesignable,6.0129,1,['(.......((*)).)']
((....)((*).)),((....)((...).)),(???????(...)??),undesignable,2.7805,2,"['(.......(*)..)', '(.....(((*))))']"
(..(...)(*)..),(..(...)(...)..),(???????(...)??),undesignable,1.1736,1,['(.......(*)..)']
(((....)..)..),(((....)..)..),(????????????),undesignable,0.0688,1,['(............)']
(.(.(*)..)....),(.(.(...)..)....),(???(...)???????),undesignable,0.2881,1,['(...(*).......)']
(.(((*))((*).))),(.(((...))((...).))),(???(...)??(...)???),undesignable,9.5677,28,"['(...(*)..(*)...)', '(.(((*))((*)).))', '(.(((*)).(*)..))', '(.(((*)(.(*)))))', '(.(((*).((*)))))', '(.(((*)..(*).)))', '(.(.(*)(((*)))))', '(...(*)(((*).)))', '(((((*))((*)))))', '(((((*)))(*).).)', '(((((*)))(*)..))', '(((((*)).(*))).)', '(((((*)).(*).)))', '((.((*))((*))).)', '((.((*))((*)).))', '((.((*)))(*)...)', '((.((*)).(*).).)', '((.((*)).(*)..))', '(.(((*))((*))).)', '(.(((*)))(*)...)', '(.(((*)).(*).).)', '(..((*))((*))..)', '(..((*)).(*)...)', '(((((*)..(*)))))', '((..(*)(((*)))))', '(.(((*)..(*))).)', '(...(*)(((*))).)', '(..((*))((*).).)']"
((.(..(*))(*))),((.(..(...))(...))),(?????(...)?(...)?),undesignable,0.3686,1,['((....(*).(*)))']
((.((*)(*).))..),((.((...)(...).))..),(???(...)(...)?????),undesignable,0.0082,1,['(...(*)(*).....)']
(((*)....(*))..),(((...)....(...))..),(?(...)????(...)???),undesignable,0.0023,1,['(.(*)....(*)...)']
(.((...(*))..)),(.((...(...))..)),(??????(...)????),undesignable,0.0081,1,['(......(*)....)']
((*)..((*)(*).)),((...)..((...)(...).)),((...)???(...)(...)??),undesignable,0.0018,1,['((*)...(*)(*)..)']
(((...(*).).).),(((...(...).).).),(?????(...)?????),undesignable,0.1192,1,['(.....(*).....)']
(.((*)...)..(*)),(.((...)...)..(...)),(??(...)??????(...)),undesignable,0.0015,1,['(..(*)......(*))']
(...((*)(...))),(...((...)(...))),(????(...)??????),undesignable,0.1209,1,['(....(*)......)']
((((*)(*))(*))(*)),((((...)(...))(...))(...)),(??(...)(...)?(...)?(...)),undesignable,0.1161,1,['(..(*)(*).(*).(*))']
(.....(....).),(.....(....).),(????????????),undesignable,0.1896,1,['(............)']
((*).(.((*).)).),((...).(.((...).)).),((...)????(...)????),undesignable,0.0058,1,['((*)....(*)....)']
((*).((*)..)),((...).((...)..)),((...)??(...)???),undesignable,0.0016,1,['((*)..(*)...)']
(.(..((*).).)),(.(..((...).).)),(?????(...)????),undesignable,1.778,16,"['(.....(*)....)', '(.((.((*).))))', '(.(.(((*).))))', '(..((((*).))))', '(..(.((*).).))', '((..(((*).))))', '(.(((((*))))))', '(.(((.(*))).))', '(.(((.(*).))))', '(.((.((*)).)))', '(.((..(*).).))', '(.((..(*)..)))', '(.(.(((*))).))', '(.(.(.(*).).))', '(.(..((*))..))', '(.(...(*)...))']"
((....(*))(*)),((....(...))(...)),(?????(...)?(...)),undesignable,0.0023,1,['(.....(*).(*))']
((*).((*).....)),((...).((...).....)),((...)??(...)??????),undesignable,0.0016,1,['((*)..(*)......)']
(...(*).(...)),(...(...).(...)),(???(...)??????),undesignable,0.3069,1,['(...(*)......)']
((((*)(*)(*))..)),((((...)(...)(...))..)),(??(...)(...)(...)????),undesignable,0.0278,1,['((.(*)(*)(*)...))']
((*).(*).((*)..)),((...).(...).((...)..)),((...)?(...)??(...)???),undesignable,0.0018,1,['((*).(*)..(*)...)']
(..(...(*)(*))),(..(...(...)(...))),(??????(...)(...)?),undesignable,0.0017,1,['(......(*)(*).)']
((..(*)..(*))(*)),((..(...)..(...))(...)),(???(...)??(...)?(...)),undesignable,0.0024,1,['(...(*)..(*).(*))']
(.(..(*))...(*)),(.(..(...))...(...)),(????(...)????(...)),undesignable,0.0045,1,['(....(*)....(*))']
(....(*).(...)),(....(...).(...)),(????(...)??????),undesignable,0.3123,1,['(....(*)......)']
(.(.(*)(*)(*))(*)),(.(.(...)(...)(...))(...)),(???(...)(...)(...)?(...)),undesignable,0.0019,1,['(...(*)(*)(*).(*))']
